unique_key,created_date,agency,agency_name,complaint_type,descriptor,status,borough,location_type,closed_date
65949693,2025-08-25T21:09:06.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,In Progress,BRONX,Residential Building/House,
65948105,2025-08-25T21:09:00.000,DOT,Department of Transportation,Street Light Condition,Street Light Out,Open,QUEENS,,
65953114,2025-08-25T21:08:57.000,EDC,Economic Development Corporation,Noise - Helicopter,Other,In Progress,QUEENS,Above Address,
65951301,2025-08-25T21:08:39.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Closed,BROOKLYN,Street/Sidewalk,2025-08-25T23:36:12.000
65950178,2025-08-25T21:08:36.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Closed,BROOKLYN,Street/Sidewalk,2025-08-25T22:09:29.000
65947625,2025-08-25T21:08:25.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,Closed,MANHATTAN,Street,2025-08-25T21:35:11.000
65951576,2025-08-25T21:08:05.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Closed,BRONX,Street/Sidewalk,2025-08-25T21:27:58.000
65944413,2025-08-25T21:08:04.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Closed,QUEENS,Street/Sidewalk,2025-08-25T22:43:12.000
65950255,2025-08-25T21:08:01.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Horn,Closed,BRONX,Street/Sidewalk,2025-08-25T21:10:49.000
65953438,2025-08-25T21:07:21.000,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,"Bodega, Deli, or Convenience Store",In Progress,BROOKLYN,Business,
65948291,2025-08-25T21:07:19.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Closed,BRONX,Street/Sidewalk,2025-08-25T21:12:12.000
65952092,2025-08-25T21:07:06.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,In Progress,BROOKLYN,Sidewalk,
65950732,2025-08-25T21:07:04.000,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,In Progress,QUEENS,Street,
65944270,2025-08-25T21:07:00.000,DEP,Department of Environmental Protection,Noise,"Noise, Ice Cream Truck (NR4)",Open,BRONX,,
