unique_key,created_date,agency,agency_name,complaint_type,descriptor,status,borough,location_type,closed_date,year_month,date,year_month_str,quarter,year,month,day_of_week,hour,workload_flag,utilization_rate
65948082,2025-08-25 22:22:05,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Closed,QUEENS,Street/Sidewalk,2025-08-25 23:00:00,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65944838,2025-08-25 22:22:02,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Closed,QUEENS,Street/Sidewalk,2025-08-25 23:13:14,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65948956,2025-08-25 22:22:00,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),Open,BROOKLYN,,,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.0822
65947066,2025-08-25 22:21:51,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Closed,MANHATTAN,Street/Sidewalk,2025-08-25 22:45:14,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65952377,2025-08-25 22:21:40,NYPD,New York City Police Department,Traffic,Drag Racing,Closed,QUEENS,Street/Sidewalk,2025-08-26 00:02:18,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65948225,2025-08-25 22:21:25,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Closed,BRONX,Residential Building/House,2025-08-25 22:44:44,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65950447,2025-08-25 22:21:19,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Closed,BRONX,Residential Building/House,2025-08-25 22:49:38,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65948216,2025-08-25 22:21:07,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Closed,BRONX,Residential Building/House,2025-08-25 22:32:44,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65945380,2025-08-25 22:21:01,DSNY,Department of Sanitation,Residential Disposal Complaint,Bin Not Used,In Progress,STATEN ISLAND,Sidewalk,,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.096
65949127,2025-08-25 22:20:59,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Closed,BROOKLYN,Street/Sidewalk,2025-08-25 22:38:49,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65949932,2025-08-25 22:20:53,DSNY,Department of Sanitation,Litter Basket Request,New Basket,In Progress,BROOKLYN,Street,,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.096
65948906,2025-08-25 22:20:52,DSNY,Department of Sanitation,Residential Disposal Complaint,Waste Not Separated,In Progress,QUEENS,Sidewalk,,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.096
65951602,2025-08-25 22:20:49,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Closed,BROOKLYN,Street/Sidewalk,2025-08-25 23:14:35,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65950327,2025-08-25 22:20:43,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Closed,QUEENS,Street/Sidewalk,2025-08-25 23:06:36,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65945849,2025-08-25 22:20:41,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Closed,QUEENS,Residential Building/House,2025-08-25 22:31:18,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65948268,2025-08-25 22:20:28,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Closed,BRONX,Street/Sidewalk,2025-08-25 22:45:09,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65944614,2025-08-25 22:20:19,NYPD,New York City Police Department,Panhandling,,Closed,MANHATTAN,Residential Building/House,2025-08-26 00:19:01,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65947073,2025-08-25 22:20:03,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Closed,BRONX,Street/Sidewalk,2025-08-26 00:30:04,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65950818,2025-08-25 22:20:01,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,In Progress,BRONX,Residential Building/House,,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65948820,2025-08-25 22:19:46,DSNY,Department of Sanitation,Dead Animal,Cat,In Progress,QUEENS,Street,,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.096
65948203,2025-08-25 22:19:16,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Closed,BROOKLYN,Residential Building/House,2025-08-26 01:17:31,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65947798,2025-08-25 22:19:00,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),Open,BROOKLYN,,,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.0822
65947797,2025-08-25 22:19:00,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),Open,BROOKLYN,,,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.0822
65952376,2025-08-25 22:18:55,NYPD,New York City Police Department,Traffic,Truck Route Violation,Closed,BRONX,Street/Sidewalk,2025-08-25 23:57:27,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65948598,2025-08-25 22:18:52,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,In Progress,BROOKLYN,Residential Building/House,,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65953123,2025-08-25 22:18:46,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,In Progress,STATEN ISLAND,Residential Building/House,,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65948832,2025-08-25 22:18:21,DSNY,Department of Sanitation,Litter Basket Request,New Basket,In Progress,BROOKLYN,Street,,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.096
65944558,2025-08-25 22:18:13,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Closed,BROOKLYN,Street/Sidewalk,2025-08-25 23:11:23,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65945890,2025-08-25 22:18:11,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Closed,BRONX,Street/Sidewalk,2025-08-26 00:37:24,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65946157,2025-08-25 22:18:07,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,In Progress,QUEENS,Street/Sidewalk,,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65951579,2025-08-25 22:17:47,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Closed,MANHATTAN,Street/Sidewalk,2025-08-25 22:27:46,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65945049,2025-08-25 22:17:24,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,In Progress,STATEN ISLAND,Residential Building/House,,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65944740,2025-08-25 22:17:00,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Closed,BRONX,Street/Sidewalk,2025-08-25 22:59:50,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
